กลุ่มข้อมูล,ดาวเทียม/Mode,รายละเอียดภาพ,Polarization,ประเภทราคาที่ 1,ราคาที่ 1,ประเภทราคาที่ 2,ราคาที่ 2,หน่วย,หมายเหตุ
ดาวเทียมระบบเรดาร์ - RADARSAT-2 (C band),Wide Fine Quad-Pol,8 m.,,Single Look complex,124800,Path Image,N/A,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - TerraSAR-X (X band),Staring Spotlight (ST),0.25 m.,,ข้อมูลในคลัง (Standard Archive),162630,ข้อมูลสั่งถ่าย (Standard Tasking),325260,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - TerraSAR-X (X band),High Res Spotlight (HS),1 m.,,ข้อมูลในคลัง (Standard Archive),139230,ข้อมูลสั่งถ่าย (Standard Tasking),278460,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - TerraSAR-X (X band),Spotlight,2 m.,,ข้อมูลในคลัง (Standard Archive),99450,ข้อมูลสั่งถ่าย (Standard Tasking),198900,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - TerraSAR-X (X band),StripMap,3 m.,,ข้อมูลในคลัง (Standard Archive),69030,ข้อมูลสั่งถ่าย (Standard Tasking),138060,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - TerraSAR-X (X band),ScanSAR,18.5 m.,,ข้อมูลในคลัง (Standard Archive),40950,ข้อมูลสั่งถ่าย (Standard Tasking),81900,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - TerraSAR-X (X band),Wide ScanSAR,40 m.,,ข้อมูลในคลัง (Standard Archive),40950,ข้อมูลสั่งถ่าย (Standard Tasking),81900,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - COSMO SkyMed (X band),Spotlight-2,1 x 1 m.,"HH, VV",,,New Acquisition,180000,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - COSMO SkyMed (X band),StripMap Himage,3x3 - 5x5 m.,"HH, HV, VH, VV",,,New Acquisition,93000,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - COSMO SkyMed (X band),StripMap PingPong,10x12 - 20x20 m.,"2 ช่องสัญญาณ polarimetric: HH,VV หรือ HH,HV หรือ VV,VH",,,New Acquisition,68000,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - COSMO SkyMed (X band),ScanSAR Wide,14x22 - 30x30 m.,"HH, HV, VH, VV",,,New Acquisition,78000,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - COSMO SkyMed (X band),ScanSAR Huge,14x38 - 100x100 m.,"HH, HV, VH, VV",,,New Acquisition,78000,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - GaoFen-3 (C band),Spotlight (SL),1 m.,"HH, VV",ข้อมูลในคลัง (Standard Archive),116400,ข้อมูลสั่งถ่าย (Standard Tasking),180500,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - GaoFen-3 (C band),Ultra-fine Stripmap (UFS),3 m.,"HH, VV",ข้อมูลในคลัง (Standard Archive),68900,ข้อมูลสั่งถ่าย (Standard Tasking),118800,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - GaoFen-3 (C band),Fine Stripmap (FSI),5 m.,"HH, VV",ข้อมูลในคลัง (Standard Archive),64200,ข้อมูลสั่งถ่าย (Standard Tasking),95000,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - GaoFen-3 (C band),Wide Fine Stripmap (FSII),10 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),64200,ข้อมูลสั่งถ่าย (Standard Tasking),90300,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - GaoFen-3 (C band),Standard Stripmap (SS),25 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),54700,ข้อมูลสั่งถ่าย (Standard Tasking),85500,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - GaoFen-3 (C band),Narrow ScanSAR (NSC),50 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),32100,ข้อมูลสั่งถ่าย (Standard Tasking),42800,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - GaoFen-3 (C band),Wide ScanSAR (WSC),100 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),32100,ข้อมูลสั่งถ่าย (Standard Tasking),45800,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - GaoFen-3 (C band),Quad-pol Stripmap (QPSI),8 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),71300,ข้อมูลสั่งถ่าย (Standard Tasking),137800,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - GaoFen-3 (C band),Wide Quad-pol Stripmap (QPSII),25 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),71300,ข้อมูลสั่งถ่าย (Standard Tasking),137800,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - GaoFen-3 (C band),Wave (WAV),10 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),10700,ข้อมูลสั่งถ่าย (Standard Tasking),14300,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - GaoFen-3 (C band),Global Observation (GLO),500 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),10700,ข้อมูลสั่งถ่าย (Standard Tasking),14300,บาท/ภาพ,
ดาวเทียมระบบเรดาร์ - GaoFen-3 (C band),Extended Incidence Angle (EXT),25 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),42800,ข้อมูลสั่งถ่าย (Standard Tasking),57000,บาท/ภาพ,
**ราคาดังกล่าวยังไม่รวมภาษีมูลค่าเพิ่ม,,,,,,,,,
"สอบถามรายละเอียดเพิ่มเติม: สำนักงานพัฒนาเทคโนโลยีอวกาศและภูมิสารสนเทศ (องค์การมหาชน) ฝ่ายพัฒนาธุรกิจและการบริการ โทร. 0 2143 9593, 0 2141 4564-66,69 อีเมล usd@gistda.or.th",,,,,,,,,
ที่มา: https://www.gistda.or.th/download/Gistda_Price_List.pdf,,,,,,,,,
